batter,player_name
677008,Heston Kjerstad
602104,Ramón Urías
663624,Ryan Mountcastle
678882,Ceddanne Rafaela
624512,Reese McGuire
622569,Pablo Reyes
623993,Anthony Santander
668939,Adley Rutschman
683002,Gunnar Henderson
543510,James McCann
676059,Jordan Westburg
608701,Rob Refsnyder
657136,Connor Wong
665839,Enmanuel Valdez
622761,Jorge Mateo
656775,Cedric Mullins
666915,Bobby Dalbec
677800,Wilyer Abreu
596115,Trevor Story
807799,Masataka Yoshida
624428,Adam Frazier
457759,Justin Turner
657077,Alex Verdugo
656811,Ryan O'Hearn
646240,Rafael Devers
680869,Zack Gelof
665923,Esteury Ruiz
669397,Nick Allen
691016,Tyler Soderstrom
672478,Jordan Diaz
666176,Jo Adell
681351,Logan O'Hoppe
592273,Brandon Drury
687263,Zach Neto
671732,Lawrence Butler
668709,JJ Bleday
667670,Brent Rooker
676116,Ryan Noda
545341,Randal Grichuk
621433,Brett Phillips
664058,David Fletcher
683021,Michael Stefanic
500871,Eduardo Escobar
676724,Jared Young
621550,Patrick Wisdom
643565,Mike Tauchman
621438,Tyrone Taylor
669003,Garrett Mitchell
518626,Josh Donaldson
672744,Alexander Canario
600869,Jeimer Candelario
666624,Christopher Morel
691718,Pete Crow-Armstrong
655316,Andruw Monasterio
642133,Rowdy Tellez
686217,Sal Frelick
605170,Víctor Caratini
663368,Blake Perkins
670156,Miles Mastrobuoni
665804,Miguel Amaya
668930,Brice Turang
642715,Willy Adames
592192,Mark Canha
467793,Carlos Santana
661388,William Contreras
592885,Christian Yelich
666149,Tyler Fitzgerald
573262,Mike Yastrzemski
592626,Joc Pederson
502110,J. D. Martinez
669257,Will Smith
518692,Freddie Freeman
444482,David Peralta
624424,Michael Conforto
642731,Thairo Estrada
664774,LaMonte Wade
543063,Brandon Crawford
669477,Casey Schmitt
571771,Enrique Hernández
681546,James Outman
642708,Amed Rosario
666165,Blake Sabol
543939,Kolten Wong
571970,Max Muncy
605141,Mookie Betts
621035,Chris Taylor
660821,Jesús Sánchez
650559,Bryan De La Cruz
669364,Xavier Edwards
693304,Nick Gonzales
678894,Liover Peguero
680779,Henry Davis
669261,Jack Suwinski
609280,Miguel Andújar
669707,Jared Triolo
656582,Connor Joe
641511,Jason Delay
542932,Jon Berti
663743,Nick Fortes
607732,Jacob Stallings
678225,Ji Hwan Bae
621563,Joey Wendle
641658,Garrett Hampson
493329,Yuli Gurriel
666310,Bo Naylor
677587,Brayan Rocchio
686823,Will Brennan
657656,Ramón Laureano
663527,Tyler Nevin
678009,Parker Meadows
668670,Jake Rogers
595879,Javier Báez
