pitcher,player_name
687798,Nick Robertson
608344,Cole Irvin
670167,John Schreiber
657514,Brennan Bernardino
666974,Yennier Cano
672335,Cionel Pérez
656557,Tanner Houck
669084,DL Hall
660261,Shintaro Fujinami
669330,Tyler Wells
543056,Danny Coulombe
680694,Kyle Bradish
623474,Jimmy Herget
594943,Zach Neal
660761,José Suarez
695243,Mason Miller
666205,Kyle Muller
608334,Carson Fulmer
676664,JP Sears
676083,Janson Junk
572888,Shane Greene
605177,Andrew Chafin
608648,Tyler Duffey
605288,Adrian Houser
694037,Daniel Palencia
681432,Luke Little
592767,Drew Smyly
623465,Evan Phillips
548389,Ross Stripling
686752,Ryan Pepiot
573124,Taylor Rogers
605154,John Brebbia
624647,Victor González
690986,Kyle Harrison
676272,Bobby Miller
670280,David Bednar
663773,Bryan Hoeing
664294,Dauri Moreta
623211,Huascar Brazobán
693312,Kyle Nicolas
677960,Ryan Weathers
674370,Osvaldo Bido
656578,Andre Jackson
656638,Alex Lange
663986,Trevor Stephan
676684,Will Vest
660853,Enyel De Los Santos
593958,Eduardo Rodríguez
680704,Nick Sandlin
608337,Lucas Giolito
663462,Isaiah Campbell
642546,Jonathan Hernández
663423,Trent Thornton
527048,Martín Pérez
672860,Prelander Berroa
669923,George Kirby
641540,Dane Dunning
656669,Jordan Luplow
668970,Gavin Hollowell
681892,Kody Funderburk
571863,Matt Koch
660896,Jorge Alcalá
641755,Tyler Kinley
664875,Justin Lawrence
592779,Brock Stewart
641927,Bailey Ober
656234,Jake Bird
683232,Nick Mears
657756,Connor Seabold
608718,Brent Suter
686613,Hunter Brown
669194,Ryne Nelson
606160,Rafael Montero
666818,Luis Frías
656986,Bennett Sousa
664299,Cristian Javier
612434,Miguel Castro
679885,Justin Martinez
686826,Bryce Jarvis
669459,Kyle Nelson
552640,Andrew Kittredge
657024,Erik Swanson
671737,Taj Bradley
643338,Chad Green
687330,Kevin Kelly
650893,Génesis Cabrera
682052,Jacob Lopez
670950,Trevor Richards
641835,Tim Mayza
641149,Wes Parsons
448179,Rich Hill
686539,Declan Cronin
665620,Deivi García
623352,Josh Hader
543766,Bryan Shaw
676680,Tom Cosgrove
676979,Garrett Crochet
605130,Scott Barlow
670990,Yohan Ramírez
678061,Ray Kerr
570632,José Ureña
658648,Pedro Avila
547179,Michael Lorenzen
641743,Anthony Kay
660593,Denyi Reyes
642397,Gregory Soto
622554,Seranthony Domínguez
656793,Nick Nelson
676130,José Buttó
621381,Matt Strahm
640448,Kyle Finnegan
543859,Michael Tonkin
640451,Hunter Harvey
641729,Joe Jiménez
543272,Brad Hand
678606,Jose Ferrer
676265,Cory Abbott
445926,Jesse Chavez
689266,Dylan Dodd
671131,Jackson Rutledge
664854,Ryan Helsley
641427,Alan Busenitz
667463,John King
571945,Miles Mikolas
622065,Alex Young
668881,Hunter Greene
663704,James McArthur
669711,Greg Weissert
666745,Jhony Brito
672578,Carlos Hernández
664199,Taylor Clarke
425844,Zack Greinke
650633,Mike King
622098,Drew Smith
650911,Cristopher Sánchez
657585,Reed Garrett
518886,Craig Kimbrel
621237,José Alvarado
689147,Orion Kerkering
641360,Phil Bickford
656546,Jeff Hoffman
674681,Michael Plassmeyer
500779,Jose Quintana
606965,Chris Devenski
663855,Jordan Hicks
664126,Pete Fairbanks
605447,Jordan Romano
596112,Robert Stephenson
554340,Yimi García
518617,Jake Diekman
681867,Cooper Criswell
547943,Hyun Jin Ryu
542888,Shawn Armstrong
666808,Camilo Doval
657571,Caleb Ferguson
643511,Tyler Rogers
675627,Michael Grove
676254,Ryan Walker
477132,Clayton Kershaw
663941,Tristan Beck
669724,Brenan Hanifee
675540,Xzavion Curry
607755,Andrew Vasquez
675916,James Karinchak
663947,Tyler Holton
669212,Eli Morgan
689225,Beau Brieske
663474,Triston McKenzie
622766,Miguel Díaz
656945,Tanner Scott
675989,Cody Bolton
677053,Andrew Nardi
669796,Jose Hernandez
519043,Matt Moore
502085,David Robertson
682990,Quinn Priester
640462,A. J. Puk
666277,George Soriano
595345,Steven Okert
608638,J. T. Chargois
657097,Jacob Webb
661440,Mauricio Llovera
656427,Jack Flaherty
670174,Josh Winckowski
